Rank,Date,Model Name,Institution,Model URL,BLEU,BertScore,SembScore,RadGraph,1/RadCliQ-v1,RaTEScore,GREEN,1/FineRadScore,CRIMSON
1,2024,CheXagent,Stanford,https://github.com/Stanford-AIMI/CheXagent,0.123,0.278,0.269,0.125,0.638,0.434,0.183,0.341,0.102
2,2024,CheXpertPlus-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.14,0.292,0.294,0.134,0.663,0.43,0.238,0.344,0.1
3,2024,CheXpertPlus-CheX,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.15,0.342,0.377,0.191,0.786,0.487,0.237,0.343,0.117
4,2024,CheXpertPlus-CheX-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.153,0.335,0.404,0.207,0.808,0.497,0.274,0.348,0.212
5,2023,Cvt2distilgpt2-MIMIC,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.124,0.267,0.266,0.119,0.626,0.42,0.215,0.346,0.124
6,2023,Cvt2distilgpt2-IU,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.084,0.267,0.155,0.098,0.577,0.382,0.147,0.332,0.032
7,2024,MedVersa,Harvard,https://huggingface.co/hyzhou/MedVersa-Internal/tree/main,0.129,0.323,0.344,0.147,0.719,0.47,0.243,0.343,0.086
8,2023,RadFM,SJTU,https://github.com/chaoyi-wu/RadFM,0.081,0.235,0.216,0.08,0.572,0.396,0.096,0.333,-0.179
9,2023,RaDialog,TUM,https://github.com/ChantalMP/RaDialog,0.131,0.312,0.353,0.138,0.709,0.445,0.211,0.333,0.111
10,2023,RGRG,TUM,https://github.com/ttanida/rgrg,0.154,0.315,0.274,0.14,0.674,0.453,0.216,0.337,-0.011
11,2023,VLCI-MIMIC,SYSU,https://github.com/WissingChen/VLCI,0.12,0.229,0.251,0.101,0.589,0.384,0.165,0.33,0.018
12,2023,VLCI-IU,SYSU,https://github.com/WissingChen/VLCI,0.106,0.22,0.17,0.094,0.555,0.418,0.194,0.339,0.04
13,2024,LLM-CXR,KAIST,https://github.com/hyn2028/llm-cxr,0.041,0.162,0.211,0.037,0.519,0.321,0.022,0.291,-0.433
14,2024,GPT4V,OpenAI,https://cdn.openai.com/papers/GPTV-System-Card.pdf,0.081,0.215,0.234,0.082,0.568,0.415,0.152,0.339,-0.052
15,2024,BiomedGPT-IU,Lehigh University,https://github.com/taokz/BiomedGPT,0.022,0.2,0.241,0.056,0.552,0.351,0.118,0.32,-0.001
16,2024,MAIRA-2,Microsoft,https://huggingface.co/microsoft/maira-2,0.163,0.359,0.355,0.189,0.788,0.485,0.273,0.352,0.238
17,2024,CXRMate-ED,CSIRO,https://huggingface.co/aehrc/cxrmate-ed,0.157,0.324,0.316,0.175,0.723,0.498,0.265,0.367,0.157
18,2024,CXRMate-RRG24,CSIRO,https://huggingface.co/aehrc/cxrmate-rrg24,0.157,0.315,0.411,0.218,0.801,0.521,0.276,0.35,0.151
19,2024,Libra,University of Glasgow,https://github.com/X-iZhang/Libra,0.157,0.319,0.323,0.169,0.718,0.466,0.253,0.344,0.17
20,2025,MoERad-IU,IIT Madras,https://github.com/gssriram/MoERad,0.075,0.284,0.175,0.102,0.595,0.39,0.127,0.341,0.032
21,2025,MoERad-MIMIC,IIT Madras,https://github.com/gssriram/MoERad,0.122,0.267,0.3,0.12,0.641,0.434,0.166,0.343,-0.033
22,2025,RadPhi3.5Vision,Microsoft,https://github.com/MercyPrasanna/rexrank,0.198,0.353,0.437,0.217,0.86,0.51,0.243,0.356,0.073
23,2025,DD-LLaVA-X,SNUH,https://github.com/Gavroche11/rexrank-submission,0.085,0.318,0.385,0.172,0.753,0.476,0.206,0.343,0.246
24,2025,MedGemma,Google,https://huggingface.co/google/medgemma-4b-it,0.147,0.328,0.325,0.137,0.706,0.511,0.246,0.337,0.111
25,2025,UniRG-CXR,Microsoft Research,https://www.microsoft.com/en-us/research/group/real-world-evidence/,0.217,0.445,0.527,0.262,1.156,0.581,0.306,,0.192
26,2025,CheXOne-R1,Stanford,https://github.com/YBZh/CheXOne-R1,0.18,0.43,0.487,0.243,1.048,0.522,0.25,,0.094
27,2025,RadPhi4VisionCXR,Microsoft Research,https://www.microsoft.com/en-us/research,0.163,0.348,0.448,0.205,0.85,0.541,0.282,,0.213
28,2025,zzy-RGv1-8b,Individual,,0.141,0.356,0.42,0.213,0.848,0.544,0.264,,0.27
29,2025,CX-Mind,SJTU,https://arxiv.org/pdf/2508.03733,0.112,0.317,0.238,0.132,0.656,0.498,0.179,,0.033
30,2026,MedGemma 1.5 4B, Google,https://deepmind.google/models/gemma/medgemma/,0.1,0.201,0.362,0.142,0.632,0.524,0.273,,0.063
31,2025,zzy-RGv2-2b,Individual,,0.179,0.433,0.508,0.264,1.111,0.57,0.297,,0.352
